Flight Number,PassengerID,Airline,Origin,Destination,Scheduled Departure,Actual Departure,Scheduled Arrival,Actual Arrival,Departure Delay (min),Arrival Delay (min),Delay Reason,Passenger Satisfaction,Survey Score,Comments,Number of Passengers,Date,Delay Duration (minutes),Flight Status
FN6103,PAX1365,AirNova,DFW,SEA,13:41,14:07,17:11,17:37,26,26,Weather,Medium,2,Smooth flight.,248,2024-05-06,26,Delayed
FN3330,PAX1366,CloudAir,ATL,MIA,05:02,05:35,07:40,07:46,33,6,Technical,Medium,3,Friendly staff.,101,2024-06-03,6,Delayed
FN7121,PAX1367,JetStream,LAX,MIA,22:14,22:39,01:56,02:21,25,25,Technical,Medium,5,,262,2024-09-29,25,Delayed
FN1086,PAX1368,JetStream,DFW,PHX,17:09,17:40,21:08,21:39,31,31,Technical,Low,4,Friendly staff.,176,2024-04-13,31,Delayed
FN2647,PAX1369,AirNova,LAX,MIA,21:02,21:35,23:17,23:50,33,33,Weather,Low,1,Smooth flight.,183,2024-10-25,33,Delayed
FN9690,PAX1370,CloudAir,JFK,BOS,11:01,11:32,14:36,14:40,31,4,Technical,Medium,2,Uncomfortable seats.,250,2024-09-02,4,Delayed
FN4453,PAX1371,SkyJet,ORD,DEN,17:14,17:40,20:50,21:16,26,26,Crew,Medium,5,Friendly staff.,82,2024-06-24,26,Delayed
FN7901,PAX1372,JetStream,LAX,SEA,03:14,03:47,06:21,06:54,33,33,Crew,Low,4,Great service!,226,2024-02-08,33,Delayed
FN6126,PAX1373,CloudAir,DFW,MIA,15:24,15:54,17:19,17:49,30,30,Technical,Medium,3,Great service!,66,2024-06-18,30,Delayed
FN4893,PAX1374,SkyJet,ATL,PHX,04:10,04:40,07:36,08:06,30,30,Crew,Medium,5,Friendly staff.,135,2024-09-03,30,Delayed
FN5008,PAX1375,AirNova,LAX,SEA,23:07,23:34,01:59,02:26,27,27,Technical,Medium,1,Friendly staff.,106,2024-01-26,27,Delayed
FN7328,PAX1376,SkyJet,ORD,SEA,06:23,06:48,08:14,08:39,25,25,None,Medium,4,,131,2024-12-20,25,Delayed
FN9397,PAX1377,FlyHigh,ORD,MIA,09:16,09:57,11:52,12:33,41,41,None,Low,3,Friendly staff.,124,2024-11-01,41,Delayed
FN2505,PAX1378,AirNova,ORD,SEA,01:35,02:08,04:36,05:09,33,33,Weather,Low,1,Delay was frustrating.,250,2024-01-13,33,Delayed
FN6330,PAX1379,SkyJet,ORD,BOS,23:11,23:45,01:38,02:12,34,34,None,Low,2,Great service!,269,2024-11-11,34,Delayed
FN9995,PAX1380,CloudAir,DFW,BOS,06:40,07:06,08:30,08:56,26,26,Crew,Medium,4,Great service!,219,2024-11-08,26,Delayed
FN1954,PAX1381,CloudAir,DFW,MIA,04:26,04:52,06:54,07:01,26,7,Technical,Medium,5,Delay was frustrating.,256,2024-02-05,7,Delayed
FN1383,PAX1382,JetStream,LAX,BOS,08:33,08:56,10:25,10:48,23,23,Weather,Medium,5,Smooth flight.,178,2024-06-21,23,Delayed
FN4046,PAX1383,AirNova,DFW,DEN,23:21,23:47,03:05,03:31,26,26,None,Medium,5,,119,2024-01-20,26,Delayed
FN3581,PAX1384,AirNova,JFK,BOS,05:39,06:07,07:09,07:37,28,28,None,Medium,2,Delay was frustrating.,169,2024-11-16,28,Delayed
FN7033,PAX1385,CloudAir,ORD,PHX,00:55,01:20,04:08,04:33,25,25,None,Medium,5,Smooth flight.,87,2024-09-20,25,Delayed
FN5460,PAX1386,FlyHigh,ATL,DEN,04:58,05:38,07:28,08:08,40,40,Weather,Low,1,Friendly staff.,162,2024-05-21,40,Delayed
FN1165,PAX1387,CloudAir,ATL,DEN,07:38,08:06,09:55,10:23,28,28,None,Medium,3,Great service!,284,2024-05-22,28,Delayed
FN1067,PAX1388,AirNova,ORD,SEA,08:34,09:06,12:21,12:53,32,32,Crew,Low,5,Smooth flight.,110,2024-04-01,32,Delayed
FN7838,PAX1389,SkyJet,ATL,PHX,21:39,22:10,01:27,01:58,31,31,Technical,Low,2,,61,2024-12-19,31,Delayed
FN3961,PAX1390,FlyHigh,ORD,DEN,18:56,19:25,20:39,20:44,29,5,Crew,Medium,3,,70,2024-11-17,5,Delayed
FN8427,PAX1391,JetStream,JFK,MIA,22:46,23:19,02:45,02:46,33,1,Weather,Medium,5,Friendly staff.,224,2024-10-14,1,Delayed
FN6162,PAX1392,SkyJet,LAX,MIA,07:09,07:33,10:30,10:35,24,5,Technical,Medium,4,,205,2024-08-02,5,Delayed
FN9135,PAX1393,SkyJet,ORD,MIA,16:12,16:43,18:47,19:18,31,31,Technical,Low,1,Great service!,89,2024-12-07,31,Delayed
FN1975,PAX1394,AirNova,ORD,PHX,10:39,11:11,13:10,13:42,32,32,None,Low,4,Friendly staff.,264,2024-02-20,32,Delayed
FN6750,PAX1395,SkyJet,LAX,SEA,02:58,03:27,06:17,06:46,29,29,None,Medium,5,,196,2024-06-01,29,Delayed
FN7628,PAX1396,SkyJet,ATL,BOS,18:14,18:39,20:03,20:05,25,2,None,Medium,5,,89,2024-07-04,2,Delayed
FN8587,PAX1397,AirNova,JFK,SEA,01:49,02:21,04:14,04:15,32,1,Technical,Medium,5,Great service!,53,2024-03-03,1,Delayed
FN2289,PAX1398,FlyHigh,ORD,BOS,00:30,00:57,03:35,03:35,27,0,Weather,High,2,,114,2024-07-08,0,On Time
FN1687,PAX1399,CloudAir,ORD,PHX,01:45,02:11,03:36,04:02,26,26,Crew,Medium,5,,64,2024-05-04,26,Delayed
FN1446,PAX1400,SkyJet,DFW,PHX,17:35,18:13,20:26,21:04,38,38,Technical,Low,5,Friendly staff.,276,2024-05-29,38,Delayed
FN3032,PAX1401,AirNova,ORD,DEN,03:06,03:40,06:56,07:30,34,34,Technical,Low,5,Delay was frustrating.,63,2024-11-09,34,Delayed
FN6570,PAX1402,SkyJet,JFK,DEN,18:15,18:43,21:44,21:52,28,8,Technical,Medium,3,,145,2024-02-27,8,Delayed
FN8243,PAX1403,JetStream,DFW,PHX,00:05,00:33,03:45,04:13,28,28,None,Medium,4,Uncomfortable seats.,101,2024-12-07,28,Delayed
FN5620,PAX1404,AirNova,LAX,PHX,04:46,05:11,08:22,08:47,25,25,None,Medium,5,Smooth flight.,254,2024-10-31,25,Delayed
FN6850,PAX1405,AirNova,LAX,DEN,08:00,08:31,10:27,10:58,31,31,None,Low,4,,160,2024-06-28,31,Delayed
FN1721,PAX1406,JetStream,ATL,MIA,20:52,21:21,22:37,23:06,29,29,None,Medium,5,Friendly staff.,287,2024-06-18,29,Delayed
FN3761,PAX1407,SkyJet,ORD,MIA,19:54,20:21,23:19,23:46,27,27,Technical,Medium,1,Great service!,210,2024-11-21,27,Delayed
FN4871,PAX1408,SkyJet,LAX,DEN,10:48,11:24,13:32,14:08,36,36,None,Low,2,Smooth flight.,121,2024-09-27,36,Delayed
FN8850,PAX1409,JetStream,ATL,DEN,22:24,22:56,01:48,02:20,32,32,Weather,Low,4,,217,2024-02-23,32,Delayed
FN8282,PAX1410,CloudAir,ORD,MIA,08:12,08:48,11:36,12:12,36,36,Crew,Low,5,Uncomfortable seats.,66,2024-04-10,36,Delayed
FN1307,PAX1411,CloudAir,ATL,DEN,19:02,19:34,21:14,21:46,32,32,None,Low,5,Smooth flight.,287,2024-09-20,32,Delayed
FN3863,PAX1412,JetStream,ATL,BOS,04:11,04:38,06:08,06:35,27,27,None,Medium,2,Friendly staff.,181,2024-02-22,27,Delayed
FN9728,PAX1413,CloudAir,JFK,SEA,02:16,02:41,04:16,04:24,25,8,Weather,Medium,1,Great service!,122,2024-02-29,8,Delayed
FN1270,PAX1414,FlyHigh,ORD,DEN,23:03,23:34,00:37,00:42,31,5,Weather,Medium,4,Friendly staff.,211,2024-04-17,5,Delayed
FN4672,PAX1415,CloudAir,ORD,DEN,02:19,02:58,05:40,06:19,39,39,Weather,Low,3,Friendly staff.,226,2024-01-05,39,Delayed
FN3925,PAX1416,SkyJet,JFK,MIA,07:25,07:55,11:17,11:47,30,30,None,Medium,4,Delay was frustrating.,171,2024-04-12,30,Delayed
FN5059,PAX1417,FlyHigh,DFW,PHX,14:34,15:01,17:34,18:01,27,27,Crew,Medium,4,,291,2024-07-14,27,Delayed
FN5538,PAX1418,AirNova,ORD,PHX,20:03,20:38,22:27,23:02,35,35,Crew,Low,2,,51,2024-09-18,35,Delayed
FN1890,PAX1419,AirNova,LAX,DEN,13:38,14:11,16:23,16:56,33,33,Weather,Low,3,,152,2024-12-30,33,Delayed
FN9469,PAX1420,AirNova,ORD,MIA,11:13,11:31,13:58,14:16,18,18,Crew,Medium,3,Delay was frustrating.,231,2024-12-15,18,Delayed
FN5624,PAX1421,CloudAir,ORD,MIA,22:38,23:14,00:15,00:10,36,-5,Weather,High,5,Friendly staff.,222,2024-02-16,0,On Time
FN8984,PAX1422,JetStream,ATL,MIA,10:54,11:30,13:23,13:23,36,0,Crew,High,5,Uncomfortable seats.,183,2024-12-20,0,On Time
FN8566,PAX1423,FlyHigh,ATL,BOS,02:25,02:52,04:07,04:34,27,27,None,Medium,1,Smooth flight.,212,2024-11-06,27,Delayed
FN3402,PAX1424,SkyJet,ATL,DEN,02:01,02:33,05:17,05:49,32,32,Technical,Low,4,Smooth flight.,161,2024-11-03,32,Delayed
FN6313,PAX1425,FlyHigh,JFK,SEA,12:11,12:50,15:10,15:17,39,7,Weather,Medium,4,Smooth flight.,250,2024-05-23,7,Delayed
FN5066,PAX1426,CloudAir,DFW,BOS,09:42,10:22,13:16,13:56,40,40,Technical,Low,1,,216,2024-09-25,40,Delayed
FN2657,PAX1427,AirNova,JFK,BOS,02:50,03:28,05:53,06:31,38,38,Technical,Low,3,,81,2024-05-03,38,Delayed
FN4962,PAX1428,FlyHigh,ORD,BOS,10:07,10:33,11:42,12:08,26,26,None,Medium,5,Smooth flight.,240,2024-04-15,26,Delayed
FN5051,PAX1429,FlyHigh,JFK,PHX,13:28,13:53,15:32,15:57,25,25,Technical,Medium,5,,125,2024-06-06,25,Delayed
FN3931,PAX1430,JetStream,LAX,BOS,01:52,02:19,04:44,05:11,27,27,Weather,Medium,2,Friendly staff.,74,2024-05-26,27,Delayed
FN9307,PAX1431,CloudAir,ORD,BOS,16:56,17:29,20:32,20:40,33,8,Weather,Medium,2,,263,2024-05-24,8,Delayed
FN6874,PAX1432,CloudAir,DFW,PHX,14:53,15:22,17:37,18:06,29,29,None,Medium,5,,234,2024-04-29,29,Delayed
FN6877,PAX1433,CloudAir,JFK,SEA,07:10,07:36,09:56,10:22,26,26,Weather,Medium,4,Delay was frustrating.,121,2024-11-14,26,Delayed
FN5815,PAX1434,SkyJet,JFK,DEN,02:20,02:45,03:57,04:22,25,25,Technical,Medium,3,,207,2024-10-01,25,Delayed
FN6555,PAX1435,FlyHigh,ORD,MIA,20:03,20:33,23:55,00:25,30,30,Weather,Medium,2,Uncomfortable seats.,104,2024-04-01,30,Delayed
FN8108,PAX1436,SkyJet,JFK,MIA,04:40,05:06,08:39,08:35,26,-4,Crew,High,3,,220,2024-02-27,0,On Time
FN7382,PAX1437,JetStream,DFW,DEN,08:53,09:20,11:35,12:02,27,27,Weather,Medium,4,Great service!,54,2024-12-11,27,Delayed
FN5713,PAX1438,SkyJet,JFK,SEA,04:37,05:10,06:40,06:43,33,3,None,Medium,5,Smooth flight.,234,2024-08-16,3,Delayed
FN2161,PAX1439,CloudAir,DFW,MIA,06:54,07:20,09:29,09:55,26,26,Crew,Medium,4,Delay was frustrating.,65,2024-04-26,26,Delayed
FN9497,PAX1440,SkyJet,DFW,SEA,18:31,19:07,20:04,20:40,36,36,Weather,Low,5,,114,2024-11-13,36,Delayed
FN5042,PAX1441,CloudAir,JFK,MIA,10:17,10:52,11:50,11:54,35,4,Crew,Medium,5,Uncomfortable seats.,283,2024-10-05,4,Delayed
FN8845,PAX1442,SkyJet,ATL,PHX,03:01,03:33,05:30,05:28,32,-2,None,High,2,Smooth flight.,89,2024-05-06,0,On Time
FN6672,PAX1443,CloudAir,LAX,MIA,16:55,17:29,18:46,18:42,34,-4,Weather,High,4,Friendly staff.,122,2024-05-08,0,On Time
FN5673,PAX1444,JetStream,JFK,BOS,03:20,03:52,05:09,05:41,32,32,Crew,Low,5,Friendly staff.,179,2024-02-27,32,Delayed
FN1279,PAX1445,AirNova,LAX,BOS,21:48,22:23,00:41,01:16,35,35,Weather,Low,1,Smooth flight.,191,2024-05-01,35,Delayed
FN9386,PAX1446,AirNova,ORD,BOS,05:31,06:03,09:28,10:00,32,32,Weather,Low,2,Smooth flight.,153,2024-01-01,32,Delayed
FN6919,PAX1447,SkyJet,ATL,DEN,15:11,15:49,17:41,18:19,38,38,None,Low,4,Friendly staff.,54,2024-08-26,38,Delayed
FN2268,PAX1448,FlyHigh,DFW,SEA,06:11,06:43,08:59,09:31,32,32,Technical,Low,3,Great service!,264,2024-10-16,32,Delayed
FN5932,PAX1449,SkyJet,DFW,SEA,04:50,05:28,07:54,08:32,38,38,Weather,Low,3,Friendly staff.,221,2024-04-05,38,Delayed
FN9320,PAX1450,JetStream,ATL,SEA,00:53,01:24,03:20,03:51,31,31,Technical,Low,5,Delay was frustrating.,161,2024-05-05,31,Delayed
FN2644,PAX1451,SkyJet,ATL,PHX,02:10,02:44,05:27,06:01,34,34,None,Low,5,Friendly staff.,151,2024-04-27,34,Delayed
FN3158,PAX1452,AirNova,ATL,MIA,02:50,03:14,05:45,06:09,24,24,None,Medium,2,Uncomfortable seats.,249,2024-02-17,24,Delayed
FN3799,PAX1453,FlyHigh,ORD,BOS,10:26,10:56,14:12,14:09,30,-3,Crew,High,4,Uncomfortable seats.,203,2024-03-29,0,On Time
FN5837,PAX1454,JetStream,ORD,SEA,13:25,13:55,17:08,17:38,30,30,Crew,Medium,5,,236,2024-08-24,30,Delayed
FN9106,PAX1455,FlyHigh,JFK,SEA,05:58,06:27,09:09,09:38,29,29,None,Medium,1,Uncomfortable seats.,170,2024-09-28,29,Delayed
FN6599,PAX1456,JetStream,DFW,PHX,06:20,06:53,09:47,10:20,33,33,Crew,Low,3,Friendly staff.,282,2024-07-07,33,Delayed
FN8008,PAX1457,SkyJet,DFW,BOS,12:26,13:12,14:49,15:35,46,46,Weather,Low,1,Friendly staff.,244,2024-07-10,46,Delayed
FN9435,PAX1458,CloudAir,JFK,MIA,11:24,11:53,13:40,14:09,29,29,Weather,Medium,5,,71,2024-03-09,29,Delayed
FN7106,PAX1459,SkyJet,LAX,BOS,16:48,17:11,20:32,20:55,23,23,Weather,Medium,2,Smooth flight.,53,2024-10-04,23,Delayed
FN5386,PAX1460,AirNova,LAX,DEN,07:06,07:39,09:46,10:19,33,33,Weather,Low,3,Delay was frustrating.,92,2024-12-14,33,Delayed
FN5516,PAX1461,JetStream,ATL,PHX,19:39,20:05,21:55,22:21,26,26,Technical,Medium,3,Friendly staff.,282,2024-09-03,26,Delayed
FN2478,PAX1462,AirNova,JFK,SEA,18:09,18:41,19:56,20:28,32,32,Weather,Low,5,,286,2024-03-16,32,Delayed
FN2269,PAX1463,AirNova,JFK,SEA,18:44,19:07,21:47,21:50,23,3,Weather,Medium,2,Delay was frustrating.,166,2024-06-02,3,Delayed
FN5675,PAX1464,FlyHigh,ORD,DEN,02:51,03:29,06:08,06:12,38,4,Crew,Medium,3,,71,2024-05-23,4,Delayed
FN6982,PAX1465,SkyJet,ORD,DEN,06:22,06:54,09:16,09:48,32,32,Technical,Low,1,Friendly staff.,235,2024-03-26,32,Delayed
FN4854,PAX1466,AirNova,DFW,MIA,12:06,12:41,14:49,15:24,35,35,Weather,Low,2,Smooth flight.,78,2024-07-03,35,Delayed
FN1556,PAX1467,AirNova,ATL,DEN,10:22,11:00,13:53,13:51,38,-2,None,High,2,Uncomfortable seats.,294,2024-10-11,0,On Time
FN6831,PAX1468,JetStream,LAX,BOS,23:51,00:21,01:30,02:00,30,30,Weather,Medium,2,Great service!,203,2024-08-07,30,Delayed
FN2819,PAX1469,CloudAir,LAX,DEN,14:48,15:07,16:42,16:49,19,7,Crew,Medium,2,Great service!,105,2024-03-09,7,Delayed
FN3031,PAX1470,FlyHigh,ATL,PHX,03:51,04:23,06:28,06:24,32,-4,None,High,4,,280,2024-02-16,0,On Time
FN5270,PAX1471,SkyJet,DFW,MIA,02:27,02:51,05:02,05:26,24,24,Weather,Medium,3,Uncomfortable seats.,252,2024-04-03,24,Delayed
FN7869,PAX1472,FlyHigh,ATL,SEA,16:38,17:14,18:58,19:34,36,36,Technical,Low,5,Friendly staff.,236,2024-08-25,36,Delayed
FN1126,PAX1473,FlyHigh,LAX,SEA,14:50,15:10,16:56,17:16,20,20,Technical,Medium,4,Smooth flight.,103,2024-07-22,20,Delayed
FN7040,PAX1474,JetStream,JFK,SEA,07:23,07:57,09:18,09:52,34,34,Weather,Low,3,Smooth flight.,220,2024-08-05,34,Delayed
FN6014,PAX1475,FlyHigh,ATL,MIA,08:10,08:37,12:08,12:35,27,27,Crew,Medium,2,Smooth flight.,217,2024-12-06,27,Delayed
FN5340,PAX1476,AirNova,ATL,BOS,19:18,19:53,23:01,23:36,35,35,Technical,Low,2,Delay was frustrating.,94,2024-02-08,35,Delayed
FN8080,PAX1477,CloudAir,DFW,PHX,05:42,06:09,08:43,09:10,27,27,Weather,Medium,1,Friendly staff.,298,2024-04-09,27,Delayed
FN6650,PAX1478,CloudAir,DFW,MIA,18:18,18:49,21:44,22:15,31,31,None,Low,3,Great service!,84,2024-10-15,31,Delayed
FN8192,PAX1479,FlyHigh,LAX,DEN,02:32,03:03,06:28,06:59,31,31,Weather,Low,3,Great service!,129,2024-09-10,31,Delayed
FN7191,PAX1480,FlyHigh,JFK,BOS,05:44,06:15,09:15,09:18,31,3,Weather,Medium,2,Delay was frustrating.,293,2024-08-09,3,Delayed
FN2191,PAX1481,JetStream,ORD,DEN,09:59,10:27,11:43,12:11,28,28,Technical,Medium,3,Uncomfortable seats.,192,2024-12-22,28,Delayed
FN4676,PAX1482,AirNova,ATL,PHX,18:12,18:41,22:07,22:36,29,29,Weather,Medium,5,Uncomfortable seats.,154,2024-01-23,29,Delayed
FN5471,PAX1483,AirNova,ATL,PHX,16:29,16:55,18:40,19:06,26,26,Crew,Medium,2,,101,2024-09-06,26,Delayed
FN1178,PAX1484,AirNova,ORD,DEN,13:10,13:42,16:04,16:36,32,32,None,Low,4,,285,2024-01-10,32,Delayed
FN3933,PAX1485,SkyJet,LAX,MIA,19:13,19:58,22:28,23:13,45,45,None,Low,2,Friendly staff.,260,2024-09-02,45,Delayed
FN2167,PAX1486,FlyHigh,LAX,DEN,17:18,17:54,20:29,21:05,36,36,Weather,Low,3,,91,2024-11-20,36,Delayed
FN1913,PAX1487,AirNova,LAX,MIA,16:12,16:49,18:17,18:19,37,2,Technical,Medium,1,Smooth flight.,124,2024-04-09,2,Delayed
FN1687,PAX1488,AirNova,ORD,SEA,14:53,15:20,17:40,18:07,27,27,Crew,Medium,2,,228,2024-10-16,27,Delayed
FN1378,PAX1489,FlyHigh,JFK,SEA,22:30,22:53,00:55,01:18,23,23,Weather,Medium,1,Smooth flight.,268,2024-06-28,23,Delayed
FN7120,PAX1490,FlyHigh,JFK,PHX,19:06,19:42,21:38,22:14,36,36,Crew,Low,4,,273,2024-08-10,36,Delayed
FN3939,PAX1491,SkyJet,ATL,DEN,10:10,10:46,12:40,13:16,36,36,Weather,Low,3,,128,2024-09-06,36,Delayed
FN9033,PAX1492,AirNova,ATL,BOS,13:23,13:48,15:39,16:04,25,25,Weather,Medium,1,Delay was frustrating.,50,2024-05-26,25,Delayed
FN5435,PAX1493,AirNova,ORD,DEN,05:33,06:00,07:40,07:45,27,5,Technical,Medium,5,,99,2024-04-05,5,Delayed
FN7054,PAX1494,CloudAir,ORD,PHX,15:38,16:07,19:17,19:46,29,29,None,Medium,3,,118,2024-09-13,29,Delayed
FN8509,PAX1495,CloudAir,JFK,SEA,19:48,20:13,22:23,22:21,25,-2,Weather,High,2,Great service!,67,2024-11-20,0,On Time
FN2567,PAX1496,JetStream,LAX,PHX,08:32,08:54,11:23,11:28,22,5,None,Medium,2,Great service!,119,2024-01-04,5,Delayed
FN7256,PAX1497,AirNova,ORD,BOS,14:33,14:59,16:20,16:46,26,26,Crew,Medium,5,,195,2024-01-16,26,Delayed
FN9243,PAX1498,CloudAir,ATL,BOS,14:25,14:59,17:02,17:36,34,34,Weather,Low,5,Uncomfortable seats.,224,2024-10-06,34,Delayed
FN6077,PAX1499,JetStream,JFK,BOS,11:30,12:12,15:07,15:04,42,-3,Weather,High,3,Friendly staff.,71,2024-12-01,0,On Time
FN8325,PAX1500,CloudAir,ATL,DEN,02:05,02:35,05:12,05:42,30,30,Weather,Medium,3,Uncomfortable seats.,266,2024-09-03,30,Delayed
FN9683,PAX1501,FlyHigh,ATL,SEA,09:28,09:59,13:06,13:37,31,31,None,Low,1,Delay was frustrating.,114,2024-09-14,31,Delayed
FN5703,PAX1502,FlyHigh,JFK,BOS,02:50,03:20,05:37,06:07,30,30,None,Medium,2,Friendly staff.,189,2024-06-08,30,Delayed
FN6398,PAX1503,CloudAir,LAX,DEN,02:08,02:31,06:03,06:26,23,23,Weather,Medium,3,,146,2024-12-05,23,Delayed
FN8776,PAX1504,AirNova,JFK,MIA,09:26,09:54,11:56,12:24,28,28,Technical,Medium,4,Great service!,83,2024-05-31,28,Delayed
FN4114,PAX1505,JetStream,LAX,PHX,11:20,11:59,13:21,14:00,39,39,Technical,Low,3,Smooth flight.,152,2024-06-26,39,Delayed
FN5078,PAX1506,CloudAir,ORD,BOS,03:45,04:18,06:51,07:00,33,9,Crew,Medium,5,Delay was frustrating.,81,2024-06-11,9,Delayed
FN4672,PAX1507,SkyJet,ATL,DEN,03:06,03:41,05:11,05:46,35,35,Weather,Low,4,Uncomfortable seats.,123,2024-02-02,35,Delayed
FN5704,PAX1508,JetStream,LAX,MIA,02:55,03:20,05:52,05:54,25,2,Weather,Medium,5,Friendly staff.,111,2024-06-27,2,Delayed
FN2738,PAX1509,AirNova,LAX,DEN,22:40,23:02,01:43,02:05,22,22,Technical,Medium,5,Delay was frustrating.,158,2024-04-10,22,Delayed
FN4504,PAX1510,AirNova,LAX,BOS,08:15,08:42,10:01,10:28,27,27,Technical,Medium,5,Smooth flight.,169,2024-09-24,27,Delayed
FN1153,PAX1511,SkyJet,ATL,DEN,04:24,04:51,06:12,06:16,27,4,Crew,Medium,5,Great service!,274,2024-11-18,4,Delayed
FN8216,PAX1512,CloudAir,ORD,SEA,04:32,04:59,07:04,07:31,27,27,Technical,Medium,5,,56,2024-03-05,27,Delayed
FN8367,PAX1513,AirNova,JFK,MIA,13:41,14:09,15:20,15:24,28,4,Technical,Medium,4,Friendly staff.,120,2024-06-16,4,Delayed
FN6694,PAX1514,FlyHigh,LAX,SEA,11:05,11:30,13:00,12:58,25,-2,None,High,5,,191,2024-11-25,0,On Time
FN8067,PAX1515,SkyJet,JFK,PHX,19:23,20:07,22:10,22:54,44,44,Weather,Low,1,Friendly staff.,254,2024-02-12,44,Delayed
FN8489,PAX1516,SkyJet,LAX,DEN,02:09,02:32,05:49,06:12,23,23,Technical,Medium,3,,287,2024-02-13,23,Delayed
FN6190,PAX1517,FlyHigh,DFW,DEN,04:37,04:59,08:03,08:25,22,22,Technical,Medium,5,Great service!,97,2024-10-11,22,Delayed
FN4364,PAX1518,JetStream,ATL,MIA,08:42,09:08,11:20,11:46,26,26,Crew,Medium,2,Uncomfortable seats.,198,2024-01-12,26,Delayed
FN1363,PAX1519,CloudAir,DFW,PHX,21:30,22:04,23:13,23:47,34,34,Weather,Low,5,Great service!,239,2024-04-04,34,Delayed
FN8288,PAX1520,SkyJet,ATL,PHX,12:59,13:18,16:06,16:25,19,19,Crew,Medium,2,Great service!,123,2024-10-28,19,Delayed
FN3567,PAX1521,CloudAir,ORD,MIA,05:06,05:36,08:55,09:25,30,30,Technical,Medium,4,Great service!,261,2024-09-09,30,Delayed
FN9669,PAX1522,SkyJet,JFK,MIA,14:33,15:02,17:28,17:57,29,29,None,Medium,4,Uncomfortable seats.,215,2024-08-29,29,Delayed
FN9433,PAX1523,FlyHigh,DFW,DEN,01:25,01:52,04:56,04:53,27,-3,Weather,High,5,Delay was frustrating.,134,2024-02-04,0,On Time
FN3330,PAX1524,CloudAir,LAX,PHX,17:21,17:41,20:26,20:46,20,20,Technical,Medium,5,Great service!,75,2024-08-02,20,Delayed
FN6918,PAX1525,JetStream,LAX,SEA,13:10,13:25,16:45,17:00,15,15,None,Medium,3,Friendly staff.,275,2024-12-02,15,Delayed
FN7727,PAX1526,AirNova,JFK,SEA,07:14,07:45,10:33,11:04,31,31,None,Low,2,Friendly staff.,226,2024-03-30,31,Delayed
FN7353,PAX1527,AirNova,ATL,BOS,20:09,20:40,21:51,22:22,31,31,Weather,Low,2,Uncomfortable seats.,257,2024-09-20,31,Delayed
FN1004,PAX1528,CloudAir,LAX,DEN,13:11,13:40,14:58,15:27,29,29,Technical,Medium,2,Uncomfortable seats.,139,2024-04-02,29,Delayed
FN4159,PAX1529,SkyJet,ATL,BOS,21:13,21:47,22:44,22:45,34,1,Weather,Medium,4,,81,2024-03-30,1,Delayed
FN6481,PAX1530,SkyJet,DFW,MIA,22:33,23:07,01:52,02:26,34,34,Crew,Low,3,Great service!,134,2024-04-24,34,Delayed
FN9446,PAX1531,SkyJet,LAX,DEN,00:10,00:36,03:42,04:08,26,26,None,Medium,5,Uncomfortable seats.,93,2024-04-14,26,Delayed
FN3803,PAX1532,SkyJet,JFK,BOS,05:56,06:23,07:34,08:01,27,27,None,Medium,2,,126,2024-07-14,27,Delayed
FN2223,PAX1533,AirNova,ORD,MIA,06:07,06:43,08:44,09:20,36,36,None,Low,2,,215,2024-11-09,36,Delayed
FN9167,PAX1534,SkyJet,DFW,MIA,03:01,03:27,04:34,05:00,26,26,None,Medium,3,,244,2024-04-23,26,Delayed
FN8422,PAX1535,AirNova,LAX,MIA,22:12,22:37,01:26,01:51,25,25,Weather,Medium,3,,165,2024-03-15,25,Delayed
FN5951,PAX1536,FlyHigh,DFW,BOS,12:25,12:53,14:11,14:39,28,28,Crew,Medium,4,Great service!,239,2024-08-04,28,Delayed
FN4815,PAX1537,FlyHigh,JFK,PHX,00:58,01:26,04:37,05:05,28,28,Technical,Medium,5,Friendly staff.,267,2024-10-03,28,Delayed
FN9945,PAX1538,SkyJet,LAX,MIA,15:10,15:39,18:32,18:35,29,3,Weather,Medium,4,Friendly staff.,144,2024-09-05,3,Delayed
FN4057,PAX1539,AirNova,JFK,BOS,21:09,21:40,22:54,23:25,31,31,None,Low,3,Great service!,111,2024-06-12,31,Delayed
FN9737,PAX1540,CloudAir,JFK,DEN,13:39,14:27,17:05,17:53,48,48,Technical,Low,5,Friendly staff.,254,2024-12-22,48,Delayed
FN7747,PAX1541,JetStream,DFW,BOS,06:33,06:59,10:10,10:12,26,2,Weather,Medium,2,Great service!,58,2024-07-10,2,Delayed
FN4555,PAX1542,CloudAir,LAX,MIA,18:01,18:24,20:10,20:33,23,23,Weather,Medium,5,,270,2024-08-14,23,Delayed
FN5025,PAX1543,FlyHigh,ATL,PHX,23:21,23:47,01:47,02:13,26,26,Crew,Medium,5,,264,2024-06-25,26,Delayed
FN2407,PAX1544,JetStream,JFK,DEN,08:05,08:28,10:31,10:54,23,23,None,Medium,1,Delay was frustrating.,282,2024-04-08,23,Delayed
FN6303,PAX1545,FlyHigh,ATL,PHX,10:38,11:06,13:56,14:24,28,28,Weather,Medium,3,,115,2024-02-05,28,Delayed
FN3376,PAX1546,JetStream,ATL,SEA,08:23,08:44,10:34,10:55,21,21,Weather,Medium,4,Smooth flight.,68,2024-04-05,21,Delayed
